epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8052290081977844,0.104508176445961,0.5081687569618225,1e-04,0.24170760810375214,0.4744454622268677,0.9123873114585876,0.07663839310407639,0.6085649728775024,0.0,0.0
1,0.9079801440238953,0.12760785222053528,0.3983847498893738,1e-04,0.5314241051673889,0.4422984719276428,0.9123873114585876,0.07751389592885971,0.5103682279586792,0.0,0.0
2,0.9254125356674194,0.1506800502538681,0.3535008728504181,1e-04,0.6482226252555847,0.5118231177330017,0.9123873114585876,0.07553932070732117,0.43829983472824097,0.0,0.0
3,0.9370287656784058,0.17193399369716644,0.32341089844703674,1e-04,0.7205681204795837,0.5817729830741882,0.9123397469520569,0.07291639596223831,0.372803658246994,0.0,0.0
4,0.9461759328842163,0.19197311997413635,0.29938560724258423,1e-04,0.7762633562088013,0.6360961198806763,0.9110623002052307,0.07472503185272217,0.34682324528694153,0.3218649625778198,0.013461851514875889
5,0.9539419412612915,0.2126162350177765,0.2779414653778076,1e-04,0.8188870549201965,0.6870774030685425,0.9082394242286682,0.08925536274909973,0.3360542953014374,0.41459521651268005,0.11047854274511337
6,0.960318922996521,0.23242852091789246,0.25927793979644775,1e-04,0.8510797023773193,0.7308812737464905,0.9101830124855042,0.11427660286426544,0.32754048705101013,0.47995302081108093,0.24508848786354065
7,0.9649127721786499,0.2500254809856415,0.24296152591705322,1e-04,0.8742018342018127,0.7612263560295105,0.9127642512321472,0.1504860818386078,0.32320645451545715,0.5081897974014282,0.43688634037971497
8,0.9662859439849854,0.2625373601913452,0.23141667246818542,1e-04,0.8803408741950989,0.7706899642944336,0.904928982257843,0.19250306487083435,0.3445231318473816,0.476447731256485,0.6685101389884949
9,0.967756986618042,0.273889422416687,0.22061064839363098,1e-04,0.8892173171043396,0.7781116366386414,0.9419327974319458,0.20851945877075195,0.2627825140953064,0.6924591064453125,0.6336577534675598
10,0.9703550934791565,0.28803038597106934,0.20877142250537872,1e-04,0.8985321521759033,0.7994358539581299,0.9461795091629028,0.24663585424423218,0.25080037117004395,0.6761686205863953,0.7840450406074524
11,0.9727084636688232,0.3016653060913086,0.1977333426475525,1e-04,0.9088585376739502,0.8158842325210571,0.9502810835838318,0.25804370641708374,0.23678240180015564,0.7116002440452576,0.7632541656494141
12,0.9758870005607605,0.3181728422641754,0.1856462061405182,1e-04,0.9208664298057556,0.8403258919715881,0.9350531101226807,0.2701950669288635,0.27312976121902466,0.6014459729194641,0.855991005897522
13,0.9766460657119751,0.32843926548957825,0.17780648171901703,1e-04,0.9249169826507568,0.8442111015319824,0.9204274415969849,0.2694518566131592,0.29756030440330505,0.5376588106155396,0.8787834048271179
14,0.9771394729614258,0.33885109424591064,0.17067019641399384,1e-04,0.9252442121505737,0.8495315909385681,0.9195061326026917,0.26520928740501404,0.290554016828537,0.5349051356315613,0.8479167819023132
15,0.9772590398788452,0.3483033776283264,0.1642647683620453,1e-04,0.9247610569000244,0.8521880507469177,0.9538809061050415,0.28226590156555176,0.20519164204597473,0.7476707696914673,0.7464689612388611
16,0.978543758392334,0.3601808249950409,0.15673761069774628,1e-04,0.931481659412384,0.8594766855239868,0.9465004205703735,0.2960234582424164,0.2219599485397339,0.6708478927612305,0.8158453106880188
17,0.9792447090148926,0.3702819049358368,0.1500197798013687,1e-04,0.936745822429657,0.8616940379142761,0.944771945476532,0.30103492736816406,0.2243409901857376,0.6616947054862976,0.8098524212837219
18,0.9805123209953308,0.38304969668388367,0.14272449910640717,1e-04,0.9423053860664368,0.8698349595069885,0.9551094174385071,0.3070507347583771,0.19063931703567505,0.7534488439559937,0.7551913261413574
19,0.9817041158676147,0.3965734839439392,0.13566173613071442,1e-04,0.9450256824493408,0.8810747861862183,0.9418547749519348,0.3142967224121094,0.22205857932567596,0.6362819075584412,0.8505291938781738
20,0.981987714767456,0.40665507316589355,0.13042278587818146,1e-04,0.9455671906471252,0.8834274411201477,0.9024447798728943,0.28520628809928894,0.3240629732608795,0.4786354899406433,0.8943751454353333
21,0.9813722968101501,0.4142579138278961,0.1269560307264328,1e-04,0.940874457359314,0.8816457390785217,0.9358497858047485,0.3154695928096771,0.23008982837200165,0.606825590133667,0.8399823904037476
22,0.9821282029151917,0.42418286204338074,0.12138751149177551,1e-04,0.9474616646766663,0.8831548094749451,0.8526303768157959,0.26221057772636414,0.49833354353904724,0.37206676602363586,0.9339098930358887
23,0.9822514653205872,0.4316394329071045,0.11882910132408142,1e-05,0.9412873983383179,0.8922573924064636,0.9656064510345459,0.33840712904930115,0.15272974967956543,0.8717859983444214,0.7315481305122375
24,0.9856120347976685,0.44260990619659424,0.11233969032764435,1e-05,0.96104896068573,0.9090974926948547,0.9664114117622375,0.34518319368362427,0.15179026126861572,0.8632926344871521,0.753895103931427
25,0.9861384630203247,0.4461115002632141,0.1109326109290123,1e-05,0.9625347852706909,0.9136661291122437,0.9668228626251221,0.3469337522983551,0.15129803121089935,0.864507794380188,0.7581748962402344
26,0.9864891767501831,0.4486997425556183,0.10986294597387314,1e-05,0.9641026854515076,0.9159579873085022,0.967005729675293,0.34823527932167053,0.1510937213897705,0.864894449710846,0.7602277398109436
27,0.9867606163024902,0.4509764313697815,0.10893043875694275,1e-05,0.9654340147972107,0.9175793528556824,0.9670374989509583,0.3493521213531494,0.15109428763389587,0.8639468550682068,0.7619379162788391
28,0.9870041012763977,0.4530975818634033,0.1080658808350563,1e-05,0.9666299819946289,0.9190464615821838,0.9670407772064209,0.3506259620189667,0.15108804404735565,0.862636387348175,0.763762354850769
29,0.9872121214866638,0.4550999104976654,0.10725077241659164,1e-05,0.9677242040634155,0.9201847314834595,0.9669722318649292,0.35147351026535034,0.1510680466890335,0.8619898557662964,0.7635910511016846
30,0.9874035716056824,0.45703446865081787,0.10646425932645798,1e-05,0.9686919450759888,0.9212917685508728,0.966927170753479,0.3523545563220978,0.1510249227285385,0.8614954948425293,0.7636081576347351
31,0.9877085089683533,0.4584714472293854,0.10567890852689743,1e-06,0.9706264734268188,0.9225589036941528,0.9666840434074402,0.35496973991394043,0.15189126133918762,0.8518185615539551,0.7735239863395691
32,0.9877296686172485,0.45879897475242615,0.10558367520570755,1e-06,0.9705056548118591,0.9230328798294067,0.9664977192878723,0.35624632239341736,0.15241305530071259,0.8466558456420898,0.7782777547836304
33,0.987748384475708,0.45907512307167053,0.10549794882535934,1e-06,0.9704434871673584,0.9233725070953369,0.9664149284362793,0.3568439483642578,0.15263499319553375,0.8445865511894226,0.7800650596618652
34,0.9877681136131287,0.45931845903396606,0.10541586577892303,1e-06,0.9704464673995972,0.9236180782318115,0.9663946628570557,0.3571559488773346,0.1527070701122284,0.8438994884490967,0.780784547328949
35,0.9877997040748596,0.4595315158367157,0.1053319200873375,1e-07,0.9704928994178772,0.923970103263855,0.9663846492767334,0.3572733998298645,0.15271712839603424,0.8437579274177551,0.7808558940887451
36,0.987801194190979,0.4595528542995453,0.10532356798648834,1e-07,0.9704976081848145,0.923983097076416,0.9663786292076111,0.35734236240386963,0.15272274613380432,0.8436867594718933,0.7808815836906433
37,0.9878026843070984,0.4595746099948883,0.10531511157751083,1e-07,0.970500648021698,0.9239964485168457,0.9663706421852112,0.3573853075504303,0.15272529423236847,0.8436044454574585,0.7808873057365417
38,0.9878048896789551,0.4595966041088104,0.10530658811330795,1e-07,0.9705133438110352,0.9240097403526306,0.9663676023483276,0.35741347074508667,0.15272612869739532,0.843579113483429,0.7808758616447449
39,0.9878090620040894,0.4596181809902191,0.10529765486717224,1e-08,0.9705283641815186,0.924045205116272,0.9663643836975098,0.35742735862731934,0.15272554755210876,0.8435483574867249,0.7808787226676941
40,0.9878091812133789,0.4596198499202728,0.10529709607362747,1e-08,0.9705303311347961,0.9240449070930481,0.966364860534668,0.357435405254364,0.15272541344165802,0.8435493111610413,0.7808844447135925
